"","Movie_Name","Genre","X","PReview_ave","Year","Awards","awards"
"102","the usual suspects","Mystery",45,4.68641115,1995,"Won 2 Oscars. Another 32 wins & 16 nominations.","awards"
"103","ghostbusters","Adventure",47,4.418300654,1984,"Nominated for 2 Oscars. Another 5 wins & 6 nominations.","awards"
"104","ghostbusters","Comedy",47,4.418300654,1984,"Nominated for 2 Oscars. Another 5 wins & 6 nominations.","awards"
"105","ghostbusters","Fantasy",47,4.418300654,1984,"Nominated for 2 Oscars. Another 5 wins & 6 nominations.","awards"
"106","monster squad, the","Action",48,4.729241877,1987,"3 wins & 4 nominations.","awards"
"107","monster squad, the","Comedy",48,4.729241877,1987,"3 wins & 4 nominations.","awards"
"108","monster squad, the","Fantasy",48,4.729241877,1987,"3 wins & 4 nominations.","awards"
"109","evil dead","Fantasy",51,4.467787115,1981,"3 wins & 1 nomination.","awards"
"110","evil dead","Horror",51,4.467787115,1981,"3 wins & 1 nomination.","awards"
"111","jaws","Adventure",52,4.710583153,1975,"Won 3 Oscars. Another 10 wins & 16 nominations.","awards"
"112","jaws","Drama",52,4.710583153,1975,"Won 3 Oscars. Another 10 wins & 16 nominations.","awards"
"113","jaws","Thriller",52,4.710583153,1975,"Won 3 Oscars. Another 10 wins & 16 nominations.","awards"
"114","alien","Horror",53,4.666666667,1979,"Won 1 Oscar. Another 16 wins & 19 nominations.","awards"
"115","alien","Sci-Fi",53,4.666666667,1979,"Won 1 Oscar. Another 16 wins & 19 nominations.","awards"
"116","dawn of the dead","Horror",59,4.527687296,2004,"1 win & 16 nominations.","awards"
"117","dr. strangelove or","Comedy",61,4.640776699,1964,"Nominated for 4 Oscars. Another 13 wins & 6 nominations.","awards"
"118","a clockwork orange","Crime",62,4.5,1971,"Nominated for 4 Oscars. Another 8 wins & 17 nominations.","awards"
"119","a clockwork orange","Drama",62,4.5,1971,"Nominated for 4 Oscars. Another 8 wins & 17 nominations.","awards"
"120","a clockwork orange","Sci-Fi",62,4.5,1971,"Nominated for 4 Oscars. Another 8 wins & 17 nominations.","awards"
"121","full metal jacket","Drama",63,4.298412698,1987,"Nominated for 1 Oscar. Another 7 wins & 9 nominations.","awards"
"122","full metal jacket","War",63,4.298412698,1987,"Nominated for 1 Oscar. Another 7 wins & 9 nominations.","awards"
"123","the shining","Drama",64,4.362186788,1980,"3 wins & 5 nominations.","awards"
"124","the shining","Horror",64,4.362186788,1980,"3 wins & 5 nominations.","awards"
"125","the terminator","Action",69,4.305555556,1984,"5 wins & 6 nominations.","awards"
"126","the terminator","Sci-Fi",69,4.305555556,1984,"5 wins & 6 nominations.","awards"
"127","heat","Action",70,4.577777778,1995,"12 nominations.","awards"
"128","heat","Crime",70,4.577777778,1995,"12 nominations.","awards"
"129","heat","Drama",70,4.577777778,1995,"12 nominations.","awards"
"130","a christmas story","Comedy",71,4.542443064,1983,"3 wins & 11 nominations.","awards"
"131","a christmas story","Family",71,4.542443064,1983,"3 wins & 11 nominations.","awards"
"132","anne of green gables","Drama",74,4.822368421,1985,"Won 1 Primetime Emmy. Another 11 wins & 6 nominations.","awards"
"133","anne of green gables","Family",74,4.822368421,1985,"Won 1 Primetime Emmy. Another 11 wins & 6 nominations.","awards"
"134","citizen kane","Drama",78,4.398950131,1941,"Won 1 Oscar. Another 7 wins & 12 nominations.","awards"
"135","citizen kane","Mystery",78,4.398950131,1941,"Won 1 Oscar. Another 7 wins & 12 nominations.","awards"
"136","army of darkness","Comedy",80,4.403669725,1992,"7 wins & 4 nominations.","awards"
"137","army of darkness","Fantasy",80,4.403669725,1992,"7 wins & 4 nominations.","awards"
"138","army of darkness","Horror",80,4.403669725,1992,"7 wins & 4 nominations.","awards"
"139","lady and the tramp","Animation",84,4.549839228,1955,"Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.","awards"
"140","lady and the tramp","Adventure",84,4.549839228,1955,"Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.","awards"
"141","lady and the tramp","Comedy",84,4.549839228,1955,"Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.","awards"
"142","the little mermaid","Animation",85,4.393509128,1989,"Won 2 Oscars. Another 10 wins & 8 nominations.","awards"
"143","the little mermaid","Family",85,4.393509128,1989,"Won 2 Oscars. Another 10 wins & 8 nominations.","awards"
"144","the little mermaid","Fantasy",85,4.393509128,1989,"Won 2 Oscars. Another 10 wins & 8 nominations.","awards"
"145","the jungle book","Animation",86,4.552188552,1967,"Nominated for 1 Oscar. Another 4 wins & 3 nominations.","awards"
"146","the jungle book","Adventure",86,4.552188552,1967,"Nominated for 1 Oscar. Another 4 wins & 3 nominations.","awards"
"147","the jungle book","Comedy",86,4.552188552,1967,"Nominated for 1 Oscar. Another 4 wins & 3 nominations.","awards"
"148","life is beautiful","Comedy",88,4.647482014,1997,"Won 3 Oscars. Another 61 wins & 43 nominations.","awards"
"149","life is beautiful","Drama",88,4.647482014,1997,"Won 3 Oscars. Another 61 wins & 43 nominations.","awards"
"150","life is beautiful","Romance",88,4.647482014,1997,"Won 3 Oscars. Another 61 wins & 43 nominations.","awards"
"151","run lola run","Crime",89,4.588785047,1998,"Nominated for 1 BAFTA Film Award. Another 28 wins & 19 nominations.","awards"
"152","run lola run","Thriller",89,4.588785047,1998,"Nominated for 1 BAFTA Film Award. Another 28 wins & 19 nominations.","awards"
"153","the iron giant","Animation",92,4.775862069,1999,"21 wins & 18 nominations.","awards"
"154","the iron giant","Action",92,4.775862069,1999,"21 wins & 18 nominations.","awards"
"155","the iron giant","Adventure",92,4.775862069,1999,"21 wins & 18 nominations.","awards"
"156","dogma","Adventure",97,3.993630573,1999,"8 nominations.","awards"
"157","dogma","Comedy",97,3.993630573,1999,"8 nominations.","awards"
"158","dogma","Fantasy",97,3.993630573,1999,"8 nominations.","awards"
"159","eyes wide shut","Drama",98,3.815718157,1999,"Nominated for 1 Golden Globe. Another 6 wins & 24 nominations.","awards"
"160","eyes wide shut","Mystery",98,3.815718157,1999,"Nominated for 1 Golden Globe. Another 6 wins & 24 nominations.","awards"
"161","eyes wide shut","Thriller",98,3.815718157,1999,"Nominated for 1 Golden Globe. Another 6 wins & 24 nominations.","awards"
"162","the green mile","Crime",100,4.489528796,1999,"Nominated for 4 Oscars. Another 14 wins & 30 nominations.","awards"
"163","the green mile","Drama",100,4.489528796,1999,"Nominated for 4 Oscars. Another 14 wins & 30 nominations.","awards"
"164","the green mile","Fantasy",100,4.489528796,1999,"Nominated for 4 Oscars. Another 14 wins & 30 nominations.","awards"
"165","magnolia","Drama",102,4.175074184,1999,"Nominated for 3 Oscars. Another 28 wins & 49 nominations.","awards"
"166","sleepy hollow","Drama",104,4.370056497,1999,"Won 1 Oscar. Another 23 wins & 39 nominations.","awards"
"167","sleepy hollow","Horror",104,4.370056497,1999,"Won 1 Oscar. Another 23 wins & 39 nominations.","awards"
"168","sleepy hollow","Mystery",104,4.370056497,1999,"Won 1 Oscar. Another 23 wins & 39 nominations.","awards"
"169","toy story 2","Animation",106,4.78057554,1999,"Nominated for 1 Oscar. Another 20 wins & 27 nominations.","awards"
"170","toy story 2","Adventure",106,4.78057554,1999,"Nominated for 1 Oscar. Another 20 wins & 27 nominations.","awards"
"171","toy story 2","Comedy",106,4.78057554,1999,"Nominated for 1 Oscar. Another 20 wins & 27 nominations.","awards"
"172","x-men","Action",107,4.201634877,2011,"20 wins & 35 nominations.","awards"
"173","x-men","Adventure",107,4.201634877,2011,"20 wins & 35 nominations.","awards"
"174","x-men","Sci-Fi",107,4.201634877,2011,"20 wins & 35 nominations.","awards"
"175","forrest gump","Drama",112,4.420168067,1994,"Won 6 Oscars. Another 37 wins & 51 nominations.","awards"
"176","forrest gump","Romance",112,4.420168067,1994,"Won 6 Oscars. Another 37 wins & 51 nominations.","awards"
"177","gettysburg","Drama",113,4.528700906,1993,"1 win & 1 nomination.","awards"
"178","gettysburg","History",113,4.528700906,1993,"1 win & 1 nomination.","awards"
"179","gettysburg","War",113,4.528700906,1993,"1 win & 1 nomination.","awards"
"180","lawrence of arabia","Adventure",115,4.680781759,1962,"Won 7 Oscars. Another 22 wins & 15 nominations.","awards"
"181","lawrence of arabia","Biography",115,4.680781759,1962,"Won 7 Oscars. Another 22 wins & 15 nominations.","awards"
"182","lawrence of arabia","Drama",115,4.680781759,1962,"Won 7 Oscars. Another 22 wins & 15 nominations.","awards"
"183","the adventures of indiana jones","Action",116,4.629277567,1995,"N/A","awards"
"184","the adventures of indiana jones","Adventure",116,4.629277567,1995,"N/A","awards"
"185","my neighbor totoro","Animation",119,4.340807175,1988,"5 wins & 1 nomination.","awards"
"186","my neighbor totoro","Family",119,4.340807175,1988,"5 wins & 1 nomination.","awards"
"187","my neighbor totoro","Fantasy",119,4.340807175,1988,"5 wins & 1 nomination.","awards"
"188","galaxy quest","Adventure",120,4.609271523,1999,"7 wins & 14 nominations.","awards"
"189","galaxy quest","Comedy",120,4.609271523,1999,"7 wins & 14 nominations.","awards"
"190","galaxy quest","Sci-Fi",120,4.609271523,1999,"7 wins & 14 nominations.","awards"
"191","pitch black","Horror",122,3.846405229,2000,"2 wins & 4 nominations.","awards"
"192","pitch black","Sci-Fi",122,3.846405229,2000,"2 wins & 4 nominations.","awards"
"193","american psycho","Drama",123,3.949061662,2000,"5 wins & 8 nominations.","awards"
"194","almost famous","Adventure",124,4.563573883,2000,"Won 1 Oscar. Another 51 wins & 102 nominations.","awards"
"195","almost famous","Comedy",124,4.563573883,2000,"Won 1 Oscar. Another 51 wins & 102 nominations.","awards"
"196","almost famous","Drama",124,4.563573883,2000,"Won 1 Oscar. Another 51 wins & 102 nominations.","awards"
"197","requiem for a dream","Drama",125,4.51047619,2000,"Nominated for 1 Oscar. Another 32 wins & 61 nominations.","awards"
"198","unbreakable","Drama",126,3.947643979,2000,"2 wins & 12 nominations.","awards"
"199","unbreakable","Mystery",126,3.947643979,2000,"2 wins & 12 nominations.","awards"
"200","unbreakable","Sci-Fi",126,3.947643979,2000,"2 wins & 12 nominations.","awards"
"201","crouching tiger, hidden dragon","Action",127,4.369515012,2000,"Won 4 Oscars. Another 95 wins & 126 nominations.","awards"
"202","crouching tiger, hidden dragon","Drama",127,4.369515012,2000,"Won 4 Oscars. Another 95 wins & 126 nominations.","awards"
"203","crouching tiger, hidden dragon","Romance",127,4.369515012,2000,"Won 4 Oscars. Another 95 wins & 126 nominations.","awards"
"204","o brother, where art thou?","Adventure",129,4.54691689,2000,"Nominated for 2 Oscars. Another 7 wins & 35 nominations.","awards"
"205","o brother, where art thou?","Comedy",129,4.54691689,2000,"Nominated for 2 Oscars. Another 7 wins & 35 nominations.","awards"
"206","o brother, where art thou?","Crime",129,4.54691689,2000,"Nominated for 2 Oscars. Another 7 wins & 35 nominations.","awards"
"207","cast away","Adventure",130,4.065868263,2000,"Nominated for 2 Oscars. Another 15 wins & 33 nominations.","awards"
"208","cast away","Drama",130,4.065868263,2000,"Nominated for 2 Oscars. Another 15 wins & 33 nominations.","awards"
"209","cast away","Romance",130,4.065868263,2000,"Nominated for 2 Oscars. Another 15 wins & 33 nominations.","awards"
"210","hannibal","Crime",131,3.55987055,2001,"7 wins & 15 nominations.","awards"
"211","hannibal","Drama",131,3.55987055,2001,"7 wins & 15 nominations.","awards"
"212","hannibal","Thriller",131,3.55987055,2001,"7 wins & 15 nominations.","awards"
"213","the mummy returns","Action",132,3.726161369,2001,"4 wins & 16 nominations.","awards"
"214","the mummy returns","Adventure",132,3.726161369,2001,"4 wins & 16 nominations.","awards"
"215","the mummy returns","Fantasy",132,3.726161369,2001,"4 wins & 16 nominations.","awards"
"216","shrek","Animation",134,4.51242236,2001,"Won 1 Oscar. Another 37 wins & 59 nominations.","awards"
"217","shrek","Adventure",134,4.51242236,2001,"Won 1 Oscar. Another 37 wins & 59 nominations.","awards"
"218","shrek","Comedy",134,4.51242236,2001,"Won 1 Oscar. Another 37 wins & 59 nominations.","awards"
"219","the bourne identity","Action",136,4.063917526,2002,"3 wins & 5 nominations.","awards"
"220","the bourne identity","Mystery",136,4.063917526,2002,"3 wins & 5 nominations.","awards"
"221","the bourne identity","Thriller",136,4.063917526,2002,"3 wins & 5 nominations.","awards"
"222","a.i. artificial intelligence","Adventure",137,3.613496933,2001,"Nominated for 2 Oscars. Another 16 wins & 64 nominations.","awards"
"223","a.i. artificial intelligence","Drama",137,3.613496933,2001,"Nominated for 2 Oscars. Another 16 wins & 64 nominations.","awards"
"224","a.i. artificial intelligence","Sci-Fi",137,3.613496933,2001,"Nominated for 2 Oscars. Another 16 wins & 64 nominations.","awards"
"225","memento","Mystery",138,4.287334594,2000,"Nominated for 2 Oscars. Another 54 wins & 54 nominations.","awards"
"226","memento","Thriller",138,4.287334594,2000,"Nominated for 2 Oscars. Another 54 wins & 54 nominations.","awards"
"227","the others","Fantasy",140,4.335078534,2001,"Nominated for 1 Golden Globe. Another 28 wins & 50 nominations.","awards"
"228","the others","Horror",140,4.335078534,2001,"Nominated for 1 Golden Globe. Another 28 wins & 50 nominations.","awards"
"229","the others","Thriller",140,4.335078534,2001,"Nominated for 1 Golden Globe. Another 28 wins & 50 nominations.","awards"
"230","persuasion","Drama",143,4.424460432,2007,"3 wins & 5 nominations.","awards"
"231","persuasion","Romance",143,4.424460432,2007,"3 wins & 5 nominations.","awards"
"232","amadeus","Biography",148,4.382133995,1984,"Won 8 Oscars. Another 33 wins & 14 nominations.","awards"
"233","amadeus","Drama",148,4.382133995,1984,"Won 8 Oscars. Another 33 wins & 14 nominations.","awards"
"234","amadeus","Music",148,4.382133995,1984,"Won 8 Oscars. Another 33 wins & 14 nominations.","awards"
"235","ben hur","Adventure",150,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"236","ben hur","Drama",150,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"237","ben hur","War",150,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"238","the cowboys","Comedy",152,4.644908616,2009,"N/A","awards"
"239","the cowboys","Western",152,4.644908616,2009,"N/A","awards"
"240","the day the earth stood still","Drama",153,4.682274247,2008,"3 wins & 5 nominations.","awards"
"241","the day the earth stood still","Sci-Fi",153,4.682274247,2008,"3 wins & 5 nominations.","awards"
"242","the day the earth stood still","Thriller",153,4.682274247,2008,"3 wins & 5 nominations.","awards"
"243","the exorcist","Horror",155,4.549071618,1973,"Won 2 Oscars. Another 14 wins & 15 nominations.","awards"
"244","ghost busters","Comedy",157,4.418300654,1975,"N/A","awards"
"245","ghost busters","Family",157,4.418300654,1975,"N/A","awards"
"246","the goonies","Adventure",158,4.624338624,1985,"2 wins & 6 nominations.","awards"
"247","the goonies","Comedy",158,4.624338624,1985,"2 wins & 6 nominations.","awards"
"248","the goonies","Family",158,4.624338624,1985,"2 wins & 6 nominations.","awards"
"249","the song remains the same","Documentary",159,4.076666667,1976,"N/A","awards"
"250","the song remains the same","Music",159,4.076666667,1976,"N/A","awards"
"251","mary poppins","Comedy",160,4.773026316,1964,"Won 5 Oscars. Another 15 wins & 14 nominations.","awards"
"252","mary poppins","Family",160,4.773026316,1964,"Won 5 Oscars. Another 15 wins & 14 nominations.","awards"
"253","mary poppins","Fantasy",160,4.773026316,1964,"Won 5 Oscars. Another 15 wins & 14 nominations.","awards"
"254","north by northwest","Adventure",162,4.694630872,1959,"Nominated for 3 Oscars. Another 8 wins & 4 nominations.","awards"
"255","north by northwest","Crime",162,4.694630872,1959,"Nominated for 3 Oscars. Another 8 wins & 4 nominations.","awards"
"256","north by northwest","Mystery",162,4.694630872,1959,"Nominated for 3 Oscars. Another 8 wins & 4 nominations.","awards"
"257","once upon a time in the west","Western",163,4.413333333,1968,"4 wins & 5 nominations.","awards"
"258","planet of the apes","Action",165,4.394067797,2011,"Nominated for 1 Oscar. Another 19 wins & 41 nominations.","awards"
"259","planet of the apes","Drama",165,4.394067797,2011,"Nominated for 1 Oscar. Another 19 wins & 41 nominations.","awards"
"260","planet of the apes","Sci-Fi",165,4.394067797,2011,"Nominated for 1 Oscar. Another 19 wins & 41 nominations.","awards"
"261","the quiet man","Comedy",166,3.98392283,1952,"Won 2 Oscars. Another 8 wins & 8 nominations.","awards"
"262","the quiet man","Drama",166,3.98392283,1952,"Won 2 Oscars. Another 8 wins & 8 nominations.","awards"
"263","the quiet man","Romance",166,3.98392283,1952,"Won 2 Oscars. Another 8 wins & 8 nominations.","awards"
"264","scrooge","Drama",167,4.893371758,1970,"Nominated for 4 Oscars. Another 1 win & 6 nominations.","awards"
"265","scrooge","Family",167,4.893371758,1970,"Nominated for 4 Oscars. Another 1 win & 6 nominations.","awards"
"266","scrooge","Fantasy",167,4.893371758,1970,"Nominated for 4 Oscars. Another 1 win & 6 nominations.","awards"
"267","the searchers","Adventure",168,4.646753247,1956,"Won 1 Golden Globe. Another 2 wins & 2 nominations.","awards"
"268","the searchers","Drama",168,4.646753247,1956,"Won 1 Golden Globe. Another 2 wins & 2 nominations.","awards"
